invenId,unitCode,name,level,maxLevel,evolution,locked,talentGrade
1831933077,u32-brown,brown,60,60,base,False,0
1831933078,u37-moon,moon,2,30,base,False,0
1831934333,u021e-brown,brown,4,80,evolved,False,0
1831934334,u395e-moon,moon,1,80,evolved,False,0
1831934335,u321e-cony,cony,1,80,evolved,False,0
1831934484,u2030e-jessica,jessica,1,80,evolved,False,0
1831936215,u1099e-james,james,1,100,evolved,False,0
1835588454,u016s-leonard,leonard,1,120,special,False,0
1835588455,u016s-leonard,leonard,1,120,special,False,0
1835588456,u0008h-leonard,leonard,1,140,hyper,False,0
1835588457,u018s-leonard,leonard,1,160,special,False,0
1836573000,u1527e-sa,sa,21,120,evolved,False,0
1850426530,u016s-leonard,leonard,1,120,special,False,0
1850426535,u1527e-sa,sa,21,120,evolved,False,0
1850426536,u016s-leonard,leonard,1,120,special,False,0
1851197697,u470e-cony,cony,1,100,evolved,False,0
1851197786,u1006e-moon,moon,1,120,evolved,False,0
1851197897,u472e-pico,pico,1,100,evolved,False,0
1851198011,u1513e-moon,moon,25,120,evolved,False,0
1851198068,u364e-lia,lia,1,100,evolved,False,0
1851198152,u1196e-leonard,leonard,1,120,evolved,False,0
1851198202,u1519e-de,de,42,120,evolved,False,0
1851443689,u018s-leonard,leonard,1,160,special,False,0
1851444141,u419e-cony,cony,1,100,evolved,False,0
1851444239,u1203e-brown,brown,1,100,evolved,False,0
1851444355,u1350e-sally,sally,1,120,evolved,False,0
1851444484,u1072e-brown,brown,1,100,evolved,False,0
1851444579,u010s-leonard,leonard,1,100,special,False,0
1851444705,u387e-moon,moon,1,100,evolved,False,0
1851444806,u288e-mong,mong,1,100,evolved,False,0
1851444949,u1100e-james,james,1,120,evolved,False,0
1851445062,u1072e-brown,brown,1,100,evolved,False,0
1851445159,u383e-cony,cony,1,100,evolved,False,0
1851445231,u387e-moon,moon,1,100,evolved,False,0
1851445337,u1136e-moon,moon,1,120,evolved,False,0
1851445457,u019e-brown,brown,1,100,evolved,False,0
1851445544,u472e-pico,pico,1,100,evolved,False,0
1851445644,u1171e-moon,moon,1,100,evolved,False,0
1851445699,u465e-merry,merry,1,100,evolved,False,0
1861979734,u0008h-leonard,leonard,1,140,hyper,False,0
1861979735,u0008u-leonard,leonard,1,140,ultra,False,0
1861980222,u401e-james,james,1,100,evolved,False,0
1875308755,u0008h-leonard,leonard,1,140,hyper,False,0
1875308770,u016s-leonard,leonard,1,120,special,False,0
1875308771,u018s-leonard,leonard,1,160,special,False,0
1875308772,u0008u-leonard,leonard,1,140,ultra,False,0
1876872810,u1544e-ja,ja,1,120,evolved,False,0
1880106614,u016s-leonard,leonard,1,120,special,False,0
1880107858,u288e-mong,mong,1,100,evolved,False,0
1880107993,u375e-cony,cony,1,100,evolved,False,0
1880108128,u378e-edward,edward,1,100,evolved,False,0
1880108343,u1171e-moon,moon,1,100,evolved,False,0
1888549149,u016s-leonard,leonard,1,120,special,False,0
1888549150,u016s-leonard,leonard,1,120,special,False,0
1888549151,u018s-leonard,leonard,1,160,special,False,0
1888549152,u018s-leonard,leonard,1,160,special,False,0
1888549156,u018s-leonard,leonard,1,160,special,False,0
1888549158,u016s-leonard,leonard,1,120,special,False,0
1888549159,u018s-leonard,leonard,1,160,special,False,0
1888549163,u0008u-leonard,leonard,1,140,ultra,False,0
1888549164,u0008u-leonard,leonard,1,140,ultra,False,0
1889572943,u016s-leonard,leonard,1,120,special,False,0
1889573107,u430e-cony,cony,1,100,evolved,False,0
1889573137,u1081e-sally,sally,1,100,evolved,False,0
1889573238,u1161e-cony,cony,21,120,evolved,False,0
1889573302,u435e-cony,cony,1,120,evolved,False,0
1889573370,u471e-cony,cony,1,120,evolved,False,0
1889573408,u025e-yang,yang,1,100,evolved,False,0
1909269677,u018s-leonard,leonard,1,160,special,False,0
1909269679,u018s-leonard,leonard,1,160,special,False,0
1909269680,u016s-leonard,leonard,1,120,special,False,0
1909269681,u018s-leonard,leonard,1,160,special,False,0
1909269682,u0008u-leonard,leonard,1,140,ultra,False,0
1909269695,u1559e-yb,yb,1,120,evolved,False,0
1909270512,u1239u-jessica,jessica,1,140,ultra,False,0
1909270657,u428e-brown,brown,1,100,evolved,False,0
1909270822,u1135e-moon,moon,1,100,evolved,False,0
1909271018,u388e-moon,moon,94,120,evolved,False,0
1909271210,u455e-moon,moon,1,100,evolved,False,0
1909271367,u285e-brown,brown,1,100,evolved,False,0
1909271506,u1064e-cony,cony,1,100,evolved,False,0
1909271683,u124e-charles,charles,1,100,evolved,False,0
1909271865,u1337e-leonard,leonard,1,120,evolved,False,0
1909272043,u1081e-sally,sally,1,100,evolved,False,0
1909272205,u1057e-moon,moon,1,100,evolved,False,0
1915076448,u016s-leonard,leonard,1,120,special,False,0
