invenId,unitCode,name,level,maxLevel,evolution,locked,talentGrade
1994980027,u021e-brown,brown,1,80,evolved,False,0
1994978442,u45-james,james,1,60,base,False,0
1994980028,u395e-moon,moon,1,80,evolved,False,0
1994979410,u37-moon,moon,1,30,base,False,0
1994978440,u37-moon,moon,2,30,base,False,0
1994980030,u095e-james,james,1,80,evolved,False,0
1994978439,u32-brown,brown,1,60,base,False,0
1994980266,u2030e-jessica,jessica,1,80,evolved,False,0
1994978441,u38-cony,cony,2,40,base,False,0
2009136792,u001s-leonard,leonard,1,20,special,False,0
1994980029,u321e-cony,cony,1,80,evolved,False,0
