invenId,unitCode,name,level,maxLevel,evolution,locked,talentGrade
1651121809,u32-brown,brown,23,60,base,False,0
1651121810,u37-moon,moon,29,30,base,False,0
1651121811,u38-cony,cony,27,40,base,False,0
1651121812,u45-james,james,23,60,base,False,0
1651124255,u37-moon,moon,29,30,base,False,0
1651125154,u021e-brown,brown,95,95,evolved,False,0
1651125155,u395e-moon,moon,3,80,evolved,False,0
1651125156,u321e-cony,cony,3,80,evolved,False,0
1651125157,u095e-james,james,80,80,evolved,False,0
1651125413,u2030e-jessica,jessica,3,80,evolved,False,0
1653133916,u016s-leonard,leonard,1,120,special,False,0
1656272991,u016s-leonard,leonard,1,120,special,False,0
1662941576,u1072e-brown,brown,1,100,evolved,False,0
1662942377,u1099e-james,james,1,100,evolved,False,0
1662942487,u460e-james,james,1,100,evolved,False,0
1662942620,u1328e-moon,moon,140,140,evolved,False,0
1663036159,u390e-awl,awl,1,120,evolved,False,0
1663036179,u1448e-brown,brown,1,120,evolved,False,0
1663036195,u1099e-james,james,1,100,evolved,False,0
1663036216,u1270u-sally,sally,1,140,ultra,False,0
1663129445,u2030e-jessica,jessica,1,80,evolved,False,0
1663130571,u001s-leonard,leonard,1,20,special,False,0
1663132333,u024e-yang,yang,37,80,evolved,False,0
1663136643,u002s-leonard,leonard,1,30,special,False,0
1663137763,u003s-leonard,leonard,1,40,special,False,0
1663139220,u002s-leonard,leonard,1,30,special,False,0
1663140283,u2030e-jessica,jessica,1,80,evolved,False,0
1663141135,u027e-renee,renee,85,85,evolved,False,0
1663143259,u003s-leonard,leonard,1,40,special,False,0
1663154260,u004s-leonard,leonard,1,50,special,False,0
1663157444,u010s-leonard,leonard,1,100,special,False,0
1663160767,u003s-leonard,leonard,1,40,special,False,0
1663168451,u005s-leonard,leonard,1,60,special,False,0
1663169255,u005s-leonard,leonard,1,60,special,False,0
1663171104,u005s-leonard,leonard,1,60,special,False,0
1663172154,u005s-leonard,leonard,1,60,special,False,0
1663174123,u005s-leonard,leonard,1,60,special,False,0
1663174912,u005s-leonard,leonard,1,60,special,False,0
1663176122,u004s-leonard,leonard,1,50,special,False,0
1663178080,u005s-leonard,leonard,1,60,special,False,0
1663179612,u010s-leonard,leonard,1,100,special,False,0
1663180551,u004s-leonard,leonard,1,50,special,False,0
1663181598,u005s-leonard,leonard,1,60,special,False,0
1663181940,u005s-leonard,leonard,1,60,special,False,0
1663182522,u016s-leonard,leonard,1,120,special,False,0
1663183891,u2031e-jessica,jessica,1,100,evolved,False,0
1663183893,u2031e-jessica,jessica,1,100,evolved,False,0
1663184286,u004s-leonard,leonard,1,50,special,False,0
1663184578,u005s-leonard,leonard,1,60,special,False,0
1663186372,u005s-leonard,leonard,1,60,special,False,0
1663188408,u004s-leonard,leonard,1,50,special,False,0
1663191387,u004s-leonard,leonard,1,50,special,False,0
1663191809,u005s-leonard,leonard,1,60,special,False,0
1663193057,u2030e-jessica,jessica,1,80,evolved,False,0
1663193489,u2030e-jessica,jessica,1,80,evolved,False,0
1663194547,u004s-leonard,leonard,1,50,special,False,0
1663195313,u004s-leonard,leonard,1,50,special,False,0
1663196666,u2030e-jessica,jessica,1,80,evolved,False,0
1663197367,u005s-leonard,leonard,1,60,special,False,0
1663198134,u016s-leonard,leonard,1,120,special,False,0
1663199038,u004s-leonard,leonard,1,50,special,False,0
1663200713,u004s-leonard,leonard,1,50,special,False,0
1663201276,u004s-leonard,leonard,1,50,special,False,0
1663201710,u016s-leonard,leonard,1,120,special,False,0
1663203046,u004s-leonard,leonard,1,50,special,False,0
1663204186,u005s-leonard,leonard,1,60,special,False,0
1663204482,u004s-leonard,leonard,1,50,special,False,0
1663206223,u005s-leonard,leonard,1,60,special,False,0
1663206633,u2030e-jessica,jessica,1,80,evolved,False,0
1663207866,u004s-leonard,leonard,1,50,special,False,0
1663208394,u2030e-jessica,jessica,1,80,evolved,False,0
1663208838,u016s-leonard,leonard,1,120,special,False,0
1663209648,u004s-leonard,leonard,1,50,special,False,0
1663210199,u005s-leonard,leonard,1,60,special,False,0
1663211579,u005s-leonard,leonard,1,60,special,False,0
1663214942,u005s-leonard,leonard,1,60,special,False,0
1663215394,u004s-leonard,leonard,1,50,special,False,0
1663217629,u005s-leonard,leonard,1,60,special,False,0
1663218194,u004s-leonard,leonard,1,50,special,False,0
1663218658,u2031e-jessica,jessica,1,100,evolved,False,0
1663219498,u005s-leonard,leonard,1,60,special,False,0
1663221499,u2030e-jessica,jessica,1,80,evolved,False,0
1663222108,u2030e-jessica,jessica,1,80,evolved,False,0
1663224477,u005s-leonard,leonard,1,60,special,False,0
1663226721,u004s-leonard,leonard,1,50,special,False,0
1663227127,u2030e-jessica,jessica,1,80,evolved,False,0
1663227623,u2031e-jessica,jessica,1,100,evolved,False,0
1663228815,u2030e-jessica,jessica,1,80,evolved,False,0
1663231401,u004s-leonard,leonard,1,50,special,False,0
1663231978,u2030e-jessica,jessica,1,80,evolved,False,0
1663234390,u005s-leonard,leonard,1,60,special,False,0
1663236630,u2030e-jessica,jessica,6,80,evolved,False,0
1663237129,u2031e-jessica,jessica,1,100,evolved,False,0
1663239642,u096e-boss,boss,1,80,evolved,False,0
